"Date","Price","Open","High","Low","Change %"
"Jul 29, 2021","22,965.0","23,020.0","23,020.0","22,966.5","-0.15%"
"Jul 28, 2021","22,999.0","23,005.0","23,022.5","22,999.5","-0.03%"
"Jul 27, 2021","23,005.0","23,009.5","23,022.5","23,006.5","-0.01%"
"Jul 26, 2021","23,008.0","23,007.0","23,022.5","23,004.5","0.01%"
"Jul 23, 2021","23,005.0","23,015.5","23,025.0","23,004.5","-0.02%"
"Jul 22, 2021","23,010.0","23,022.5","23,025.0","23,009.5","-0.05%"
"Jul 21, 2021","23,022.0","23,021.5","23,029.0","23,015.0","-0.02%"
"Jul 20, 2021","23,026.0","23,019.0","23,028.5","23,017.5","0.03%"
"Jul 19, 2021","23,020.0","23,012.5","23,027.5","23,012.0","0.04%"
"Jul 16, 2021","23,011.0","23,004.5","23,016.5","23,000.0","0.01%"
"Jul 15, 2021","23,009.0","23,012.5","23,020.0","23,011.0","-0.01%"
"Jul 14, 2021","23,011.0","23,012.5","23,021.0","23,012.0","0.00%"
"Jul 13, 2021","23,010.0","23,022.5","23,029.0","23,002.5","-0.04%"
"Jul 12, 2021","23,020.0","23,004.5","23,022.0","23,000.0","0.09%"
"Jul 09, 2021","23,000.0","23,000.0","23,031.5","22,997.5","-0.03%"
"Jul 08, 2021","23,007.0","23,020.0","23,032.0","23,006.0","-0.03%"
"Jul 07, 2021","23,015.0","23,010.5","23,017.5","22,999.5","0.03%"
"Jul 06, 2021","23,007.0","23,004.5","23,016.0","22,992.5","0.05%"
"Jul 05, 2021","22,996.0","22,994.5","23,011.5","22,989.5","-0.01%"
"Jul 02, 2021","22,998.0","23,005.0","23,025.0","22,999.5","-0.05%"
"Jul 01, 2021","23,010.0","23,025.0","23,025.0","23,005.0","-0.02%"
"Jun 30, 2021","23,014.0","23,025.0","23,028.0","23,016.0","-0.03%"
"Jun 29, 2021","23,020.0","23,025.0","23,030.0","23,014.5","0.00%"
"Jun 28, 2021","23,020.0","23,025.0","23,025.0","23,012.0","-0.02%"
"Jun 25, 2021","23,025.0","23,002.5","23,052.0","23,002.5","0.10%"
"Jun 24, 2021","23,003.0","23,007.5","23,030.0","23,002.5","-0.07%"
"Jun 23, 2021","23,020.0","23,027.5","23,028.0","23,022.5","-0.02%"
"Jun 22, 2021","23,025.0","23,017.5","23,027.5","23,011.0","0.05%"
"Jun 21, 2021","23,014.0","22,947.5","23,050.0","22,947.5","0.08%"
"Jun 18, 2021","22,995.0","22,972.5","23,015.0","22,949.0","0.15%"
"Jun 17, 2021","22,960.0","22,952.0","22,968.0","22,948.5","0.06%"
"Jun 16, 2021","22,946.0","22,950.0","22,953.5","22,942.0","-0.00%"
"Jun 15, 2021","22,947.0","22,951.0","22,956.0","22,946.5","0.01%"
"Jun 14, 2021","22,944.0","22,947.5","22,954.0","22,941.0","-0.00%"
"Jun 11, 2021","22,945.0","22,946.5","22,965.0","22,943.0","-0.01%"
"Jun 10, 2021","22,947.0","22,957.5","23,005.0","22,943.0","-0.03%"
"Jun 09, 2021","22,955.0","22,955.5","23,010.5","22,955.5","0.01%"
"Jun 08, 2021","22,952.0","23,012.0","23,012.5","22,943.5","-0.21%"
"Jun 07, 2021","23,000.0","23,051.5","23,055.0","23,005.0","-0.19%"
"Jun 04, 2021","23,044.0","23,044.5","23,056.0","23,043.0","0.01%"
"Jun 03, 2021","23,041.0","23,042.5","23,053.0","23,042.0","0.00%"
"Jun 02, 2021","23,040.0","23,046.0","23,048.0","23,041.5","-0.02%"
"Jun 01, 2021","23,044.0","23,046.5","23,062.0","23,042.5","0.02%"
"May 31, 2021","23,040.0","23,047.5","23,054.0","23,042.5","-0.02%"
"May 28, 2021","23,045.0","23,049.0","23,057.0","23,043.0","0.00%"
"May 27, 2021","23,045.0","23,060.5","23,062.0","23,045.0","-0.04%"
"May 26, 2021","23,055.0","23,054.5","23,062.5","23,050.5","-0.03%"
"May 25, 2021","23,061.5","23,060.5","23,065.0","23,055.0","0.02%"
"May 24, 2021","23,056.0","23,054.5","23,060.5","23,047.5","0.01%"
"May 21, 2021","23,054.0","23,052.5","23,057.5","23,042.0","0.04%"
"May 20, 2021","23,045.0","23,046.0","23,052.5","23,041.5","0.00%"
"May 19, 2021","23,045.0","23,043.0","23,051.5","23,042.0","0.02%"
"May 18, 2021","23,040.0","23,044.5","23,048.0","23,039.0","-0.03%"
"May 17, 2021","23,046.0","23,052.0","23,054.5","23,041.5","-0.01%"
"May 14, 2021","23,048.0","23,051.5","23,052.5","23,047.0","0.03%"
"May 13, 2021","23,040.0","23,062.5","23,070.5","23,045.0","-0.06%"
"May 12, 2021","23,053.0","23,058.5","23,064.0","23,050.0","-0.01%"
"May 11, 2021","23,055.0","23,061.0","23,065.0","23,050.0","-0.02%"
"May 10, 2021","23,060.0","23,059.5","23,066.0","23,049.5","0.00%"
