Date,USD
2013-03-14,1586.0
2013-03-15,1595.5
2013-03-18,1603.75
2013-03-19,1610.75
2013-03-20,1607.5
2013-03-21,1613.75
2013-03-22,1607.75
2013-03-25,1599.25
2013-03-26,1598.0
2013-03-27,1603.0
2013-03-28,1598.25
2013-03-29,1598.25
2013-04-01,1598.25
2013-04-02,1583.5
2013-04-03,1574.75
2013-04-04,1546.5
2013-04-05,1568.0
2013-04-08,1575.0
2013-04-09,1577.25
2013-04-10,1575.0
2013-04-11,1565.0
2013-04-12,1535.5
2013-04-15,1395.0
2013-04-16,1380.0
2013-04-17,1392.0
2013-04-18,1393.75
2013-04-19,1405.5
2013-04-22,1424.5
2013-04-23,1408.0
2013-04-24,1428.5
2013-04-25,1451.0
2013-04-26,1471.5
2013-04-29,1467.5
2013-04-30,1469.0
2013-05-01,1454.75
2013-05-02,1469.25
2013-05-03,1469.25
2013-05-06,1469.25
2013-05-07,1444.25
2013-05-08,1468.0
2013-05-09,1465.5
2013-05-10,1426.5
2013-05-13,1430.75
2013-05-14,1433.75
2013-05-15,1410.0
2013-05-16,1381.0
2013-05-17,1368.75
2013-05-20,1354.75
2013-05-21,1360.75
2013-05-22,1408.5
2013-05-23,1380.5
2013-05-24,1390.25
2013-05-27,1390.25
2013-05-28,1376.5
2013-05-29,1382.5
2013-05-30,1413.5
2013-05-31,1394.5
2013-06-03,1402.5
2013-06-04,1399.5
2013-06-05,1404.0
2013-06-06,1400.0
2013-06-07,1386.0
2013-06-10,1383.25
2013-06-11,1374.25
2013-06-12,1382.75
2013-06-13,1385.0
2013-06-14,1391.25
2013-06-17,1384.75
2013-06-18,1366.75
2013-06-19,1372.75
2013-06-20,1292.5
2013-06-21,1295.25
2013-06-24,1286.75
2013-06-25,1279.0
2013-06-26,1236.25
2013-06-27,1232.75
2013-06-28,1192.0
2013-07-01,1242.75
2013-07-02,1252.5
2013-07-03,1250.0
2013-07-04,1251.75
2013-07-05,1212.75
2013-07-08,1235.25
2013-07-09,1255.5
2013-07-10,1256.0
2013-07-11,1285.0
2013-07-12,1279.75
2013-07-15,1284.75
2013-07-16,1291.5
2013-07-17,1297.25
2013-07-18,1283.25
2013-07-19,1295.75
2013-07-22,1327.0
2013-07-23,1333.5
2013-07-24,1335.0
2013-07-25,1326.0
2013-07-26,1331.0
2013-07-29,1329.75
2013-07-30,1324.15
2013-07-31,1314.5
2013-08-01,1315.0
2013-08-02,1309.25
2013-08-05,1304.75
2013-08-06,1280.5
2013-08-07,1282.5
2013-08-08,1298.25
2013-08-09,1309.0
2013-08-12,1341.0
2013-08-13,1328.5
2013-08-14,1326.5
2013-08-15,1329.75
2013-08-16,1369.25
2013-08-19,1365.0
2013-08-20,1372.5
2013-08-21,1363.0
2013-08-22,1375.5
2013-08-23,1377.5
2013-08-26,1377.5
2013-08-27,1419.25
2013-08-28,1419.5
2013-08-29,1407.75
2013-08-30,1394.75
2013-09-02,1392.25
2013-09-03,1399.5
2013-09-04,1390.0
2013-09-05,1385.0
2013-09-06,1387.0
2013-09-09,1390.0
2013-09-10,1358.25
2013-09-11,1363.75
2013-09-12,1328.0
2013-09-13,1318.5
2013-09-16,1324.0
2013-09-17,1312.25
2013-09-18,1301.0
2013-09-19,1365.5
2013-09-20,1349.25
2013-09-23,1323.0
2013-09-24,1314.25
2013-09-25,1322.75
2013-09-26,1333.0
2013-09-27,1341.0
2013-09-30,1326.5
2013-10-01,1290.75
2013-10-02,1306.25
2013-10-03,1316.0
2013-10-04,1309.75
2013-10-07,1323.5
2013-10-08,1329.5
2013-10-09,1304.0
2013-10-10,1298.5
2013-10-11,1265.5
2013-10-14,1285.5
2013-10-15,1270.5
2013-10-16,1273.5
2013-10-17,1319.25
2013-10-18,1316.5
2013-10-21,1317.5
2013-10-22,1333.0
2013-10-23,1331.25
2013-10-24,1344.75
2013-10-25,1347.75
2013-10-28,1361.0
2013-10-29,1349.25
2013-10-30,1354.75
2013-10-31,1324.0
2013-11-01,1306.75
2013-11-04,1320.5
2013-11-05,1307.25
2013-11-06,1319.0
2013-11-07,1307.25
2013-11-08,1285.5
2013-11-11,1282.5
2013-11-12,1281.25
2013-11-13,1272.5
2013-11-14,1286.0
2013-11-15,1287.25
2013-11-18,1283.5
2013-11-19,1275.75
